"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACAD11_-_132379444.23-P1P2","ACAD11__P1P2",1808.90339600831,0.0630502105579386,0.194083041263771,0.324862028889218,0.745285496043416,0.85552679201958
"ACAD11_+_132378312.23-P1P2","ACAD11__P1P2",2069.34414032287,0.112331320136871,0.112784343453235,0.995983278330184,0.319258269926169,0.498810216599016
"ACAD11_+_132379379.23-P1P2","ACAD11__P1P2",2076.67112068154,-0.0117513010340369,0.176686080296882,-0.0665094896796136,0.946972202768182,0.972500049901052
"ACAD11__P1P2__primary__FWD__56","ACAD11__P1P2",2607.16655046053,0.088944953775797,0.158120226478067,0.562514712740654,0.573765382308818,0.72757598178317
"ACAD11__P1P2__primary__FWD__65","ACAD11__P1P2",2474.95676644645,0.108155901439497,0.0960028041578408,1.12659106562841,0.259915418309747,0.433401239106815
"ACAD11__P1P2__primary__FWD__66","ACAD11__P1P2",2359.65534243621,0.0925755972674303,0.0823048760319448,1.1247887334342,0.260678569815356,0.434161065663315
"ACADS__P1P2__primary__RVS__-24","ACADS__P1P2",2290.80472270296,0.115667839639927,0.107141634903308,1.07957881867599,0.280329777826376,0.457048069230932
"ACADS_+_121164090.23-P1P2","ACADS__P1P2",1474.91939900579,0.250365428352016,0.313794050489984,0.797865440600529,0.424948580428994,0.602544604523934
"ACADS__P1P2__primary__RVS__0","ACADS__P1P2",2629.81796276239,-0.0524758453111238,0.0984230655322249,-0.53316613364316,0.59391858257433,0.742724219949275
"ACADS__P1P2__primary__RVS__86","ACADS__P1P2",2647.48371283452,0.013916264774824,0.0839781450321627,0.165712933638797,0.868382867216911,0.930664228363182
"ACADS__P1P2__primary__FWD__90","ACADS__P1P2",3008.24451360709,0.0498893184759733,0.0872907031409685,0.571530720693193,0.567639942082921,0.72285264351017
"ACADS__P1P2__primary__RVS__225","ACADS__P1P2",2459.4385552581,0.081561680249923,0.097788670428079,0.83406063190019,0.404246817999896,0.58235962264671
"ACADS__P1P2__primary__RVS__240","ACADS__P1P2",2224.1605746712,0.137349290670315,0.085296558306969,1.61025595166474,0.107341991120071,0.228266147318864
"ACADS__P1P2__primary__FWD__232","ACADS__P1P2",2335.28951825734,0.0393503681234197,0.0874354609151556,0.450050445340523,0.652674067177924,0.790096425528952
"ACAT2_+_160183436.23-P1P2","ACAT2__P1P2",1628.62710748817,0.0188900374815229,0.217955095905833,0.0866694004240412,0.930934299790475,0.964749897593294
"ACAT2_+_160183505.23-P1P2","ACAT2__P1P2",1834.32746598131,-0.100184974484151,0.20590242067641,-0.486565306784802,0.626566414338047,0.76885598657145
"ACAT2_-_160183095.23-P1P2","ACAT2__P1P2",1415.36711115594,-0.835147599070319,0.3177216396139,-2.62855120628612,0.00857494444340948,0.027928418111515
"ACAT2_-_160183174.23-P1P2","ACAT2__P1P2",1521.95704832517,-0.762896930308656,0.262533716194288,-2.90590077864161,0.00366197549783341,0.0129270538627491
"ACAT2__P1P2__secondary__FWD__36","ACAT2__P1P2",1973.51095933994,-0.129563050861749,0.117206107213681,-1.10542917892102,0.268973666074417,0.444066340975923
"ACAT2__P1P2__secondary__FWD__41","ACAT2__P1P2",1993.18685566289,-0.113880732386178,0.134587517514712,-0.846146317943115,0.397471124568132,0.575809829322744
"ACAT2__P1P2__secondary__FWD__62","ACAT2__P1P2",1579.77037588282,-0.307550343864464,0.288284249055467,-1.06683020273262,0.28604851739766,0.463411041318645
"ACAT2__P1P2__primary__FWD__72","ACAT2__P1P2",1221.92061101967,-0.528948626009446,0.219952292931248,-2.40483342528638,0.0161798389000766,0.0483696758473115
"ACLY_-_40074817.23-P1P2","ACLY__P1P2",1974.00109325883,-0.467009778673457,0.288767840339491,-1.61724996150684,0.105824335695159,0.226002876607019
"ACLY_-_40075227.23-P1P2","ACLY__P1P2",921.349464023264,-1.84229943853969,0.375306100359726,-4.90879161509464,9.16392872749222e-07,5.95532361532263e-06
"ACLY_+_40075121.23-P1P2","ACLY__P1P2",1394.44905985009,-1.20809380069193,0.269558751569667,-4.4817457925483,7.4034899647463e-06,4.16306581467122e-05
"ACLY_-_40075090.23-P1P2","ACLY__P1P2",1629.96031149465,-1.07372731078129,0.260884814220619,-4.11571410926695,3.85982498764241e-05,0.000193874243825355
